model,check,expected,observed,tolerance_rel,abs_error,rel_error,pass,max_abs_diff_iu,max_rel_diff
lanoiselee,A(0) == dose,28000.0,27999.999999999993,1e-09,7.275957614183426e-12,2.598556290779795e-16,True,,
lanoiselee,integral A_c dt == dose * Vc / Cl,4491915.370155581,4491915.370155593,1e-06,1.210719347000122e-08,2.6953298253216817e-15,True,,
lanoiselee,terminal slope == -beta,-0.002490742296126529,-0.0024907423076323317,0.0001,1.1505802820915845e-11,4.61942724416294e-09,True,,
lanoiselee,C(0) == dose / Vc,6.980593948822274,6.980593948822272,1e-09,1.7763568394002505e-15,2.5447073020196904e-16,True,,
delavenne,A(0) == dose,28000.0,28000.0,1e-09,0.0,0.0,True,,
delavenne,integral A_c dt == dose * Vc / Cl,6192627.824019024,6192627.824019041,1e-06,1.6763806343078613e-08,2.7070585895793235e-15,True,,
delavenne,terminal slope == -beta,-0.0025459553845063286,-0.002545955384507012,0.0001,6.83481049534862e-16,2.684575910851603e-13,True,,
delavenne,C(0) == dose / Vc,9.03225806451613,9.03225806451613,1e-09,0.0,0.0,True,,
jia,A(0) == dose,28000.0,28000.0,1e-09,0.0,0.0,True,,
jia,integral A_c dt == dose * Vc / Cl,4328135.593220339,4328135.5932203485,1e-06,9.313225746154785e-09,2.1517869635930934e-15,True,,
jia,terminal slope == -beta,-0.0003088105976007255,-0.00030881059761585174,0.0001,1.5126246609431515e-14,4.898227822151651e-11,True,,
jia,C(0) == dose / Vc,9.210526315789474,9.210526315789474,1e-09,0.0,0.0,True,,
prodose,slow pool decays to exp(-0.693) by t = 155.20 min,12601.854611533347,12601.854611533343,1e-09,3.637978807091713e-12,2.8868598466151147e-16,True,,
prodose,A(0) == bolus,28000.0,28000.0,1e-09,0.0,0.0,True,,
meesters,slow pool decays to exp(-0.693) by t = 250 min,12601.854611533347,12601.854611533347,1e-09,0.0,0.0,True,,
prodose-2,A(0) == bolus with reinfusion = 1.0,28000.0,28000.0,1e-09,0.0,0.0,True,,
delavenne,prime enters at CPB onset (jump == prime dose),5000.0,4999.9996505663985,1e-06,0.0003494336015137378,6.988672030274756e-08,True,,
jia,prime enters at CPB onset (jump == prime dose),5000.0,4999.999814542287,1e-06,0.00018545771308708936,3.709154261741787e-08,True,,
lanoiselee,prime enters at CPB onset (jump == prime dose),5000.0,4999.999815376643,1e-06,0.0001846233571995981,3.692467143991962e-08,True,,
meesters,prime enters at CPB onset (jump == prime dose),5000.0,4999.999864371941,1e-06,0.00013562805906985886,2.712561181397177e-08,True,,
prodose,prime enters at CPB onset (jump == prime dose),5000.0,4999.99982614789,1e-06,0.00017385210958309472,3.4770421916618945e-08,True,,
lanoiselee,analytical solution vs numerical ODE solution,,,,,,True,3.005266989930533e-06,3.194770953541962e-10
delavenne,analytical solution vs numerical ODE solution,,,,,,True,1.9021463231183589e-06,1.6486378892490973e-10
jia,analytical solution vs numerical ODE solution,,,,,,True,3.154356818413362e-06,2.2738593146286516e-10
