model,loa_weight,k,half_life_min,pct_change_vs_0_1
delavenne,0.0,0.01038576200815311,66.740137123863,7.546810334973627e-05
delavenne,0.05,0.010385756449475364,66.74017284460388,2.194596471230127e-05
delavenne,0.1,0.010385754170221419,66.74018749137866,0.0
delavenne,0.2,0.010385748700831846,66.74022263839561,-5.266242088484371e-05
delavenne,0.5,0.010385767617960381,66.74010107459631,0.0001294825463987942
jia,0.0,0.0071512632592032445,96.92653667418924,0.00026445646314728283
jia,0.05,0.007151253140718967,96.92667381793427,0.00012296382513191093
jia,0.1,0.007151244347275373,96.92679300267997,0.0
jia,0.2,0.007151261808492046,96.92655633679088,0.00024417032652140214
jia,0.5,0.007151248155087565,96.92674139224552,5.3246847784537937e-05
lanoiselee,0.0,0.007027610884222397,98.63198062319039,5.2791140742339444e-05
lanoiselee,0.05,0.007027615400867894,98.63191723245744,0.00011706117440876577
lanoiselee,0.1,0.007027607174268403,98.6320326921381,0.0
lanoiselee,0.2,0.007027586002998288,98.63232983050185,-0.0003012585875908244
lanoiselee,0.5,0.007027602432571979,98.63209924159948,-6.747241708226516e-05
meesters,0.0,0.0038427330127603705,180.3786987694035,0.0005688326611368864
meesters,0.05,0.0038427069277348746,180.3799232143182,-0.00010998561193793149
meesters,0.1,0.0038427111541642525,180.37972482235585,0.0
meesters,0.2,0.003842701173670401,180.3801933153906,-0.00025972532025188495
meesters,0.5,0.003842717148329835,180.379443452196,0.0001559879299227948
prodose,0.0,0.005480154828005187,126.48313821678201,0.0002536559393408552
prodose,0.05,0.005480152724116069,126.48318677500868,0.0002152647894345646
prodose,0.1,0.005480140927302241,126.48345904877435,0.0
prodose,0.2,0.005480140177056582,126.48347636469384,-1.3690262147513183e-05
prodose,0.5,0.005480142612628852,126.4834201508926,3.075334436218428e-05
prodose-2,0.0,0.004172764616697257,166.11221677501933,-0.00022843959718189317
prodose-2,0.05,0.004172774655067937,166.11181716177774,1.2128675182574236e-05
prodose-2,0.1,0.0041727741489657145,166.11183730894047,0.0
prodose-2,0.2,0.004172779997877027,166.11160447294026,0.00014016841324117745
prodose-2,0.5,0.0041727426240720416,166.11309227683108,-0.0007554900540393254
