model,k,pattern,scenario,size_iu,first_topup_min,n_topups,total_topup_iu,mean_diff_iu,mean_abs_diff_iu,worst_abs_diff_iu,worst_diff_iu,worst_diff_time_min,mean_pct_error,mean_abs_pct_error,worst_abs_pct_error,pct_of_window_within_threshold,n_evaluation_points,horizon_min
delavenne,0.010463690547838706,single,2500 IU at 30 min,2500.0,30.0,1,2500.0,3526.001798834361,4780.119657551736,7649.390425381813,7649.390425381813,240.0,30.34280644254201,36.85378894948063,72.12641615727547,8.16326530612245,49,240.0
delavenne,0.010463690547838706,single,2500 IU at 60 min,2500.0,60.0,1,2500.0,4587.023764128414,4794.833187935402,7610.268347075275,7610.268347075275,240.0,37.218569391057514,38.38277515274682,71.33179661386785,10.204081632653061,49,240.0
delavenne,0.010463690547838706,single,2500 IU at 90 min,2500.0,90.0,1,2500.0,5433.200389079819,5433.200389079819,7538.4744249629075,7538.4744249629075,240.0,43.459421210610216,43.459421210610216,70.20877378434145,0.0,49,240.0
delavenne,0.010463690547838706,single,2500 IU at 120 min,2500.0,120.0,1,2500.0,6013.430300797861,6013.430300797861,7420.8825404959725,7420.8825404959725,240.0,48.366028548245,48.366028548245,68.6386600807339,0.0,49,240.0
delavenne,0.010463690547838706,single,5000 IU at 30 min,5000.0,30.0,1,5000.0,3659.309322836919,5056.11786831649,8168.97643725687,8168.97643725687,240.0,29.523276588263922,36.20435853997261,71.63975050911255,8.16326530612245,49,240.0
delavenne,0.010463690547838706,single,5000 IU at 60 min,5000.0,60.0,1,5000.0,4659.152781871437,4927.115657695645,8090.732280643796,8090.732280643796,240.0,35.23355192039958,36.58763315202384,70.17448443722905,10.204081632653061,49,240.0
delavenne,0.010463690547838706,single,5000 IU at 90 min,5000.0,90.0,1,5000.0,5430.204519521512,5430.204519521512,7947.14443641906,7947.14443641906,240.0,40.10126610054167,40.10126610054167,68.12086751007394,0.0,49,240.0
delavenne,0.010463690547838706,single,5000 IU at 120 min,5000.0,120.0,1,5000.0,5920.553362366519,5920.553362366519,7711.9606674851875,7711.9606674851875,240.0,43.49859632213008,43.49859632213008,65.27356524584552,0.0,49,240.0
delavenne,0.010463690547838706,single,10000 IU at 30 min,10000.0,30.0,1,10000.0,3925.9243708420345,5619.25864210893,9208.148461006986,9208.148461006986,240.0,28.18131940653402,35.20716844367701,70.84554409582121,6.122448979591836,49,240.0
delavenne,0.010463690547838706,single,10000 IU at 60 min,10000.0,60.0,1,10000.0,4803.4108173574805,5244.4803947214195,9051.660147780836,9051.660147780836,240.0,32.06082185541408,33.96008310794706,68.31085814916665,10.204081632653061,49,240.0
delavenne,0.010463690547838706,single,10000 IU at 90 min,10000.0,90.0,1,10000.0,5424.212780404902,5424.212780404902,8764.484459331365,8764.484459331365,240.0,34.85187744025887,34.85187744025887,64.80559523724033,0.0,49,240.0
delavenne,0.010463690547838706,single,10000 IU at 120 min,10000.0,120.0,1,10000.0,5734.799485503831,5734.799485503831,8294.116921463621,8294.116921463621,240.0,36.05094016885198,36.05094016885198,60.00902464893484,0.0,49,240.0
delavenne,0.010463690547838706,two_boluses,2 x 2500 IU at 60/120 min,2500.0,60.0,2,5000.0,4526.282519140826,4734.091942947814,7901.346474064491,7901.346474064491,240.0,33.64351636375165,34.80772212544097,67.69406841833109,10.204081632653061,49,240.0
delavenne,0.010463690547838706,two_boluses,2 x 5000 IU at 60/120 min,5000.0,60.0,2,10000.0,4537.670291896259,4805.633167720467,8672.888534622229,8672.888534622229,240.0,29.333224670495714,30.687305902119977,64.072428043268,10.204081632653061,49,240.0
delavenne,0.010463690547838706,two_boluses,2 x 10000 IU at 60/120 min,10000.0,60.0,2,20000.0,4560.4458374071255,5001.515414771065,10215.972655737703,10215.972655737703,240.0,23.438431602119813,25.33769285465278,59.17524693031144,10.204081632653061,49,240.0
delavenne,0.010463690547838706,three_boluses,3 x 2500 IU at 45/90/135 min,2500.0,45.0,3,7500.0,3991.8231937791643,4660.4122134597355,8252.000580847274,8252.000580847274,240.0,27.998552403117824,31.63856758695311,65.44554055016764,10.204081632653061,49,240.0
delavenne,0.010463690547838706,three_boluses,3 x 5000 IU at 45/90/135 min,5000.0,45.0,3,15000.0,4019.0063773727547,4800.0048031438855,9374.196748187795,9374.196748187795,240.0,23.217882871111655,27.09471477754469,60.833070022941435,10.204081632653061,49,240.0
delavenne,0.010463690547838706,three_boluses,3 x 10000 IU at 45/90/135 min,10000.0,45.0,3,30000.0,4073.372744559934,5110.018739903073,11618.589082868832,11618.589082868832,240.0,17.301867536190574,21.71690481219504,55.29712289203145,14.285714285714285,49,240.0
jia,0.007164568208057913,single,2500 IU at 30 min,2500.0,30.0,1,2500.0,-87.9148239833869,144.1483446928913,281.5413349477167,281.5413349477167,30.0,-1.0454889059268584,1.255161128811074,2.432667754206811,100.0,49,240.0
jia,0.007164568208057913,single,2500 IU at 60 min,2500.0,60.0,1,2500.0,-129.63917137015574,137.869673476901,185.64058922387994,-185.64058922387994,180.0,-1.2909547819672127,1.326178809030189,2.4287934873279204,100.0,49,240.0
jia,0.007164568208057913,single,2500 IU at 90 min,2500.0,90.0,1,2500.0,-154.4094241721438,154.4094241721438,184.82269395080039,-184.82269395080039,183.75,-1.496188921253621,1.496188921253621,2.4029263546533306,100.0,49,240.0
jia,0.007164568208057913,single,2500 IU at 120 min,2500.0,120.0,1,2500.0,-166.25263187939214,166.25263187939214,181.64406982819855,-181.64406982819855,187.5,-1.6524493129562594,1.6524493129562594,2.3466555276887,100.0,49,240.0
jia,0.007164568208057913,single,5000 IU at 30 min,5000.0,30.0,1,5000.0,-109.31602309042893,161.6423602498053,281.5413349477167,281.5413349477167,30.0,-1.1356682496229586,1.3139234767390973,2.545768804044448,100.0,49,240.0
jia,0.007164568208057913,single,5000 IU at 60 min,5000.0,60.0,1,5000.0,-150.9712174922645,158.58990749322982,212.61394655240474,-212.61394655240474,180.0,-1.3523752460597513,1.3818074851211435,2.534600948035779,100.0,49,240.0
jia,0.007164568208057913,single,5000 IU at 90 min,5000.0,90.0,1,5000.0,-175.11273840256894,175.11273840256894,211.18778868560548,-211.18778868560548,183.75,-1.515104701774443,1.515104701774443,2.4839908915399644,100.0,49,240.0
jia,0.007164568208057913,single,5000 IU at 120 min,5000.0,120.0,1,5000.0,-185.57168079585594,185.57168079585594,205.78872077048436,-205.78872077048436,195.0,-1.6142405595616487,1.6142405595616487,2.382039210704208,100.0,49,240.0
