model,input_correlation,bias_iu,loa_low_iu,loa_high_iu,mean_abs_pct_error
delavenne,0.0,-55.40266445439974,-3567.131135921088,3456.325807012289,9.748989460637643
delavenne,0.3,185.63055078008867,-4216.650191746149,4587.911293306327,12.369614383870555
delavenne,0.6,246.5086169667971,-4762.3750360362055,5255.3922699698005,14.11633533056988
jia,0.0,19.174421424109283,-184.746146007463,223.09498885568158,0.4431105856578379
jia,0.3,13.799429068552348,-157.7675571916129,185.36641532871758,0.37093667008395026
jia,0.6,10.387707810103876,-123.71478761111314,144.4902032313209,0.28971324678179633
lanoiselee,0.0,1.2909680615326706,-184.34931737284532,186.93125349591068,0.39910562221610785
lanoiselee,0.3,1.4389775937080176,-153.33784285406963,156.21579804148567,0.32399838057380076
lanoiselee,0.6,1.4101041654809743,-121.03635897038004,123.85656730134198,0.25671259741635033
meesters,0.0,3.7256229884819767,-787.2110331193459,794.6622790963098,1.3006721416540556
meesters,0.3,39.65913200578188,-784.1538860904949,863.4721501020587,1.370314686577754
meesters,0.6,61.126028469710874,-788.8489420081962,911.1009989476179,1.4236018943980453
prodose,0.0,4.049740387535956,-680.9932698662932,689.0927506413651,1.2726397292079303
prodose,0.3,32.796411795207305,-672.3896759633418,737.9824995537564,1.336550108843178
prodose,0.6,49.66612212904826,-674.4940235046307,773.8262677627273,1.3874826689960964
prodose-2,0.0,17.87331109517461,-955.2711906548491,991.0178128451983,1.6595136698293205
prodose-2,0.3,17.643537379012017,-830.8380618851277,866.1251366431518,1.457339407010384
prodose-2,0.6,25.545209320609178,-714.3847210890065,765.4751397302248,1.2697448259978703
