model,ibw_kg,dose_per_kg,bolus_iu,prime_iu,total_load_iu,elapsed_min,k,nomogram_residual_iu,reference_residual_iu,protamine_mg_at_1_to_100
delavenne,70.0,400.0,28000.0,5000.0,33000.0,75.0,0.010463690547838706,15055.310263334683,15106.313624003336,150.55310263334684
delavenne,70.0,400.0,28000.0,5000.0,33000.0,60.0,0.010463690547838706,17613.860642333133,15959.548109639281,176.13860642333134
delavenne,70.0,400.0,28000.0,5000.0,33000.0,90.0,0.010463690547838706,12868.409244734828,14439.562798709832,128.6840924473483
delavenne,70.0,400.0,28000.0,5000.0,33000.0,120.0,0.010463690547838706,9401.457173561581,13323.805636019202,94.0145717356158
jia,70.0,400.0,28000.0,5000.0,33000.0,75.0,0.007164568208057913,19281.863630850068,19292.200886100734,192.8186363085007
jia,70.0,400.0,28000.0,5000.0,33000.0,60.0,0.007164568208057913,21469.503127521577,21550.287386331147,214.69503127521577
jia,70.0,400.0,28000.0,5000.0,33000.0,90.0,0.007164568208057913,17317.13411672316,17272.882049418782,173.1713411672316
jia,70.0,400.0,28000.0,5000.0,33000.0,120.0,0.007164568208057913,13967.865592201784,13852.190667631736,139.67865592201784
lanoiselee,70.0,400.0,28000.0,5000.0,33000.0,75.0,0.007030324936405744,19476.978750376453,19463.829613947397,194.76978750376452
lanoiselee,70.0,400.0,28000.0,5000.0,33000.0,60.0,0.007030324936405744,21643.12961489881,21663.078281831487,216.4312961489881
lanoiselee,70.0,400.0,28000.0,5000.0,33000.0,90.0,0.007030324936405744,17527.626918681624,17508.258435836182,175.27626918681625
lanoiselee,70.0,400.0,28000.0,5000.0,33000.0,120.0,0.007030324936405744,14194.698773554846,14219.94531536185,141.94698773554848
meesters,70.0,400.0,28000.0,5000.0,33000.0,75.0,0.0038579698605798007,24708.809054205274,24719.02534764714,247.08809054205275
meesters,70.0,400.0,28000.0,5000.0,33000.0,60.0,0.0038579698605798007,26180.879907567865,25796.1561735289,261.8087990756787
meesters,70.0,400.0,28000.0,5000.0,33000.0,90.0,0.0038579698605798007,23319.50824543134,23702.905098953204,233.19508245431342
meesters,70.0,400.0,28000.0,5000.0,33000.0,120.0,0.0038579698605798007,20770.862810136077,21807.151546794415,207.70862810136077
prodose,70.0,400.0,28000.0,5000.0,33000.0,75.0,0.005495688622151766,21852.84053742881,21868.853543433015,218.5284053742881
prodose,70.0,400.0,28000.0,5000.0,33000.0,60.0,0.005495688622151766,23730.621109784963,23410.984854770937,237.30621109784963
prodose,70.0,400.0,28000.0,5000.0,33000.0,90.0,0.005495688622151766,20123.646884125705,20443.089078269455,201.23646884125705
prodose,70.0,400.0,28000.0,5000.0,33000.0,120.0,0.005495688622151766,17064.920553217326,17876.00132533132,170.64920553217326
prodose-2,70.0,400.0,28000.0,5000.0,33000.0,75.0,0.00419150511601981,24098.381432522398,24123.804107729826,240.983814325224
prodose-2,70.0,400.0,28000.0,5000.0,33000.0,60.0,0.00419150511601981,25662.15284416029,25272.011359253254,256.6215284416029
prodose-2,70.0,400.0,28000.0,5000.0,33000.0,90.0,0.00419150511601981,22629.901364627414,23027.764539317104,226.29901364627415
prodose-2,70.0,400.0,28000.0,5000.0,33000.0,120.0,0.00419150511601981,19955.942078698306,20982.815114314693,199.55942078698305
